no,SKU,Nama,kategori,satuan,merek,stok keluar,stok masuk,stok tersedia,stok minimal,barcode,lokasi penyimpanan,kadaluarsa,warna,ukuran,p,l,t,keterangan,,
174,SK0174,KEMEJA TRAINER S,UNIFORM,PCS,XIAOMI,3,0,4,1,BR0174,,01 AGU 2022,,,40,30,2,,,
175,SK0175,KEMEJA TRAINER M,UNIFORM,PCS,XIAOMI,3,0,3,1,BR0175,,01 AGU 2022,,,40,30,2,,,
176,SK0176,KEMEJA TRAINER L,UNIFORM,PCS,XIAOMI,2,0,9,1,BR0176,,01 AGU 2022,,,40,30,2,,,
177,SK0177,KEMEJA TRAINER XL,UNIFORM,PCS,XIAOMI,1,0,0,1,BR0177,,01 AGU 2022,,,40,30,2,,,
178,SK0178,KEMEJA TRAINER XXL,UNIFORM,PCS,XIAOMI,1,0,2,1,BR0178,,01 AGU 2022,,,40,30,2,,,
179,SK0179,KEMEJA TRAINER XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0179,,01 AGU 2022,,,40,30,2,,,
180,SK0180,KEMEJA TRAINER POLOS TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0180,,01 AGU 2022,,,40,30,2,,,
181,SK0181,KEMEJA TRAINER POLOS S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0181,,01 AGU 2022,,,40,30,2,,,
182,SK0182,KEMEJA TRAINER POLOS M,UNIFORM,PCS,XIAOMI,0,0,1,1,BR0182,,01 AGU 2022,,,40,30,2,,,
183,SK0183,KEMEJA TRAINER POLOS L,UNIFORM,PCS,XIAOMI,0,0,3,1,BR0183,,01 AGU 2022,,,40,30,2,,,
184,SK0184,KEMEJA TRAINER POLOS XL,UNIFORM,PCS,XIAOMI,0,0,6,1,BR0184,,01 AGU 2022,,,40,30,2,,,
185,SK0185,KEMEJA TRAINER POLOS XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0185,,01 AGU 2022,,,40,30,2,,,
186,SK0186,KEMEJA TRAINER POLOS XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0186,,01 AGU 2022,,,40,30,2,,,
187,SK0187,Tshirt Hitam Trainer TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,11,1,BR0187,,01 AGU 2022,,,40,30,2,,,
188,SK0188,Tshirt Hitam Trainer S,UNIFORM,PCS,XIAOMI,0,0,9,1,BR0188,,01 AGU 2022,,,40,30,2,,,
189,SK0189,Tshirt Hitam Trainer M,UNIFORM,PCS,XIAOMI,0,0,17,1,BR0189,,01 AGU 2022,,,40,30,2,,,
190,SK0190,Tshirt Hitam Trainer L,UNIFORM,PCS,XIAOMI,0,0,8,1,BR0190,,01 AGU 2022,,,40,30,2,,,
191,SK0191,Tshirt Hitam Trainer XL,UNIFORM,PCS,XIAOMI,0,0,9,1,BR0191,,01 AGU 2022,,,40,30,2,,,
192,SK0192,Tshirt Hitam Trainer XXL,UNIFORM,PCS,XIAOMI,0,0,5,1,BR0192,,01 AGU 2022,,,40,30,2,,,
193,SK0193,Tshirt Hitam Trainer XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0193,,01 AGU 2022,,,40,30,2,,,
194,SK0194,PoloShirt Innovation Everyone TANPA UKURAN,STANDING EASEL,PCS,XIAOMI,0,0,0,1,BR0194,,01 AGU 2022,,,40,30,2,,,
195,SK0195,PoloShirt Innovation Everyone S,STANDING EASEL,PCS,XIAOMI,0,0,391,1,BR0195,,01 AGU 2022,,,40,30,2,,,
196,SK0196,PoloShirt Innovation Everyone M,STANDING EASEL,PCS,XIAOMI,0,0,865,1,BR0196,,01 AGU 2022,,,40,30,2,,,
197,SK0197,PoloShirt Innovation Everyone L,STANDING EASEL,PCS,XIAOMI,0,0,856,1,BR0197,,01 AGU 2022,,,40,30,2,,,
198,SK0198,PoloShirt Innovation Everyone XL,STANDING EASEL,PCS,XIAOMI,0,0,339,1,BR0198,,01 AGU 2022,,,40,30,2,,,
199,SK0199,PoloShirt Innovation Everyone XXL,STANDING EASEL,PCS,XIAOMI,0,0,2,1,BR0199,,01 AGU 2022,,,40,30,2,,,
200,SK0200,PoloShirt Innovation Everyone XXXL,STANDING EASEL,PCS,XIAOMI,0,0,0,1,BR0200,,01 AGU 2022,,,40,30,2,,,
201,SK0201,Tshirt Merah Redmi Note 11 Series TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0201,,01 AGU 2022,,,40,30,2,,,
202,SK0202,Tshirt Merah Redmi Note 11 Series S,UNIFORM,PCS,XIAOMI,0,0,46,1,BR0202,,01 AGU 2022,,,40,30,2,,,
203,SK0203,Tshirt Merah Redmi Note 11 Series M,UNIFORM,PCS,XIAOMI,0,0,85,1,BR0203,,01 AGU 2022,,,40,30,2,,,
204,SK0204,Tshirt Merah Redmi Note 11 Series L,UNIFORM,PCS,XIAOMI,0,0,54,1,BR0204,,01 AGU 2022,,,40,30,2,,,
205,SK0205,Tshirt Merah Redmi Note 11 Series XL,UNIFORM,PCS,XIAOMI,0,0,60,1,BR0205,,01 AGU 2022,,,40,30,2,,,
206,SK0206,Tshirt Merah Redmi Note 11 Series XXL,UNIFORM,PCS,XIAOMI,0,0,71,1,BR0206,,01 AGU 2022,,,40,30,2,,,
207,SK0207,Tshirt Merah Redmi Note 11 Series XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0207,,01 AGU 2022,,,40,30,2,,,
208,SK0208,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0208,,01 AGU 2022,,,40,30,2,,,
209,SK0209,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN S,UNIFORM,PCS,XIAOMI,0,0,32,1,BR0209,,01 AGU 2022,,,40,30,2,,,
210,SK0210,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN M,UNIFORM,PCS,XIAOMI,0,0,32,1,BR0210,,01 AGU 2022,,,40,30,2,,,
211,SK0211,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN L,UNIFORM,PCS,XIAOMI,0,0,41,1,BR0211,,01 AGU 2022,,,40,30,2,,,
212,SK0212,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN XL,UNIFORM,PCS,XIAOMI,0,0,127,1,BR0212,,01 AGU 2022,,,40,30,2,,,
213,SK0213,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN XXL,UNIFORM,PCS,XIAOMI,0,0,75,1,BR0213,,01 AGU 2022,,,40,30,2,,,
214,SK0214,Tshirt Putih Redmi Note 11 Series/JUWARA SEMUA TANTANGAN XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0214,,01 AGU 2022,,,40,30,2,,,
215,SK0215,TSHIRT PUTIH FAN FESTIVAL TANPA UKURAN,UNIFORM,PCS,XIAOMI,179,0,0,1,BR0215,,01 AGU 2022,,,40,30,2,,,
216,SK0216,TSHIRT PUTIH FAN FESTIVAL S,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0216,,01 AGU 2022,,,40,30,2,,,
217,SK0217,TSHIRT PUTIH FAN FESTIVAL M,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0217,,01 AGU 2022,,,40,30,2,,,
218,SK0218,TSHIRT PUTIH FAN FESTIVAL L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0218,,01 AGU 2022,,,40,30,2,,,                                 
219,SK0219,TSHIRT PUTIH FAN FESTIVAL XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0219,,01 AGU 2022,,,40,30,2,,,
220,SK0220,TSHIRT PUTIH FAN FESTIVAL XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0220,,01 AGU 2022,,,40,30,2,,,
221,SK0221,TSHIRT PUTIH FAN FESTIVAL XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0221,,01 AGU 2022,,,40,30,2,,,
222,SK0222,Tshirt Hitam Xiaomi POCO TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,2,1,BR0222,,01 AGU 2022,,,40,30,2,,,
223,SK0223,Tshirt Hitam Xiaomi POCO S,UNIFORM,PCS,XIAOMI,0,0,40,1,BR0223,,01 AGU 2022,,,40,30,2,,,
224,SK0224,Tshirt Hitam Xiaomi POCO M,UNIFORM,PCS,XIAOMI,0,0,156,1,BR0224,,01 AGU 2022,,,40,30,2,,,
225,SK0225,Tshirt Hitam Xiaomi POCO L,UNIFORM,PCS,XIAOMI,0,170,100,1,BR0225,,01 AGU 2022,,,40,30,2,,,
226,SK0226,Tshirt Hitam Xiaomi POCO XL,UNIFORM,PCS,XIAOMI,0,260,25,1,BR0226,,01 AGU 2022,,,40,30,2,,,
227,SK0227,Tshirt Hitam Xiaomi POCO XXL,UNIFORM,PCS,XIAOMI,0,385,110,1,BR0227,,01 AGU 2022,,,40,30,2,,,
228,SK0228,Tshirt Hitam Xiaomi POCO XXXL,UNIFORM,PCS,XIAOMI,0,150,5,1,BR0228,,01 AGU 2022,,,40,30,2,,,
229,SK0229,Tshirt Kuning Xiaomi POCO TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,2,1,BR0229,,01 AGU 2022,,,40,30,2,,,
230,SK0230,Tshirt Kuning Xiaomi POCO S,UNIFORM,PCS,XIAOMI,0,0,1,1,BR0230,,01 AGU 2022,,,40,30,2,,,
231,SK0231,Tshirt Kuning Xiaomi POCO M,UNIFORM,PCS,XIAOMI,0,0,27,1,BR0231,,01 AGU 2022,,,40,30,2,,,
232,SK0232,Tshirt Kuning Xiaomi POCO L,UNIFORM,PCS,XIAOMI,0,130,155,1,BR0232,,01 AGU 2022,,,40,30,2,,,
233,SK0233,Tshirt Kuning Xiaomi POCO XL,UNIFORM,PCS,XIAOMI,0,220,0,1,BR0233,,01 AGU 2022,,,40,30,2,,,
234,SK0234,Tshirt Kuning Xiaomi POCO XXL,UNIFORM,PCS,XIAOMI,0,335,0,1,BR0234,,01 AGU 2022,,,40,30,2,,,
235,SK0235,Tshirt Kuning Xiaomi POCO XXXL,UNIFORM,PCS,XIAOMI,0,110,0,1,BR0235,,01 AGU 2022,,,40,30,2,,,
236,SK0236,Tshirt Hitam Xioami Dasi TANPA UKURAN,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0236,,01 AGU 2022,,,40,30,2,,,
237,SK0237,Tshirt Hitam Xioami Dasi S,UNIFORM,PCS,XIAOMI,0,0,3,1,BR0237,,01 AGU 2022,,,40,30,2,,,
238,SK0238,Tshirt Hitam Xioami Dasi M,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0238,,01 AGU 2022,,,40,30,2,,,
239,SK0239,Tshirt Hitam Xioami Dasi L,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0239,,01 AGU 2022,,,40,30,2,,,
240,SK0240,Tshirt Hitam Xioami Dasi XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0240,,01 AGU 2022,,,40,30,2,,,
241,SK0241,Tshirt Hitam Xioami Dasi XXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0241,,01 AGU 2022,,,40,30,2,,,
242,SK0242,Tshirt Hitam Xioami Dasi XXXL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0242,,01 AGU 2022,,,40,30,2,,,
243,SK0243,STANDING EASEL,ACRYLIC,PCS,XIAOMI,24,40,68,1,BR0243,,01 AGU 2022,,,42,66,118,,,
244,SK0244,Dummy Xiaomi 12 T,Dummy xiaomi 12 T,PCS,XIAOMI,0,0,750,1,BR0244,,01 AGU 2022,,,2,9,17,,,
245,SK0245,ACRYLIC SPEC CARD 10*14 CM,ACRYLIC,PCS,XIAOMI,2337,100,51,1,BR0245,,01 AGU 2022,,,14,10,1,,,
246,SK0246,Acrylic Flat Tray,ACRYLIC,PCS,XIAOMI,15,0,0,1,BR0246,,01 AGU 2022,,,25,30,4,,,
247,SK0247,Tray Double Tingkat,ACRYLIC,PCS,XIAOMI,25,0,0,1,BR0247,,01 AGU 2022,,,19,37,23,,,
248,SK0248,Tray Single,ACRYLIC,PCS,XIAOMI,20,0,0,1,BR0248,,01 AGU 2022,,,23,37,13,,,
249,SK0249,Price Tag,ACRYLIC,PCS,XIAOMI,40,0,0,1,BR0249,,01 AGU 2022,,,6,6,18,,,
250,SK0250,Price Tag Meja,ACRYLIC,PCS,XIAOMI,23,0,0,1,BR0250,,01 AGU 2022,,,15,1,11,,,
251,SK0251,Hanging Spec Card,ACRYLIC,PCS,XIAOMI,25,0,0,1,BR0251,,01 AGU 2022,,,6,1,5,,,
252,SK0252,Stop Lock Hanging Pin,ACRYLIC,PCS,XIAOMI,25,0,0,1,BR0252,,01 AGU 2022,,,2,2,4,,,
253,SK0253,Mi Robot Vacuum Acrylic,ACRYLIC,PCS,XIAOMI,1,0,0,1,BR0253,,01 AGU 2022,,,20,40,17,,,
254,SK0254,Flayer Holder,ACRYLIC,PCS,XIAOMI,4,0,0,1,BR0254,,01 AGU 2022,,,5,16,11,,,
255,SK0255,MI ROUTER 4C,Elektronik,PCS,XIAOMI,310,76,88,1,BR0255,,01 AGU 2022,,,19.2,35,3.7,,,
256,SK0256,MI 360 HOME SECURITY CAMERA 2K,Elektronik,PCS,XIAOMI,0,0,20,1,BR0256,,01 AGU 2022,,,8.9,8.6,16,,,
257,SK0257,MI AIR PURIFIER 3C,Elektronik,PCS,XIAOMI,0,0,2,1,BR0257,,01 AGU 2022,,,29,29,58,,,
258,SK0258,MI SMART AIR FRYER,Elektronik,PCS,XIAOMI,0,0,22,1,BR0258,,01 AGU 2022,,,37,29,34,,,
259,SK0259,MI TV 4 32,Elektronik,PCS,XIAOMI,4,0,17,1,BR0259,,01 AGU 2022,,,12,85,51,,,
260,SK0260,MI HIGH CAPACITY GEL PEN,Elektronik,PCS,XIAOMI,0,0,447,1,BR0260,,01 AGU 2022,,,14.9,5.2,2.8,,,
261,SK0261,MI SMART BAND 6,Elektronik,PCS,XIAOMI,13,0,964,1,BR0261,,01 AGU 2022,,,19.1,7.6,2.3,,,
262,SK0262,"MI TV 4 32\"" BEZEL-LESS 4K",Elektronik,PCS,XIAOMI,0,0,105,1,BR0262,,01 AGU 2022,,,14.2,114,66,,,
263,SK0263,MI TV 4 43,Elektronik,PCS,XIAOMI,20,1,100,1,BR0263,,01 AGU 2022,,,14.2,114,66,,,
264,SK0264,MI WATCH LITE,Elektronik,PCS,XIAOMI,2,0,146,1,BR0264,,01 AGU 2022,,,10,10,7.4,,,
265,SK0265,REDMI BUDS 3,Elektronik,PCS,XIAOMI,1228,0,8,1,BR0265,,01 AGU 2022,,,17,7.5,2.3,,,
266,SK0266,REDMI WATCH 2 LITE,Elektronik,PCS,XIAOMI,0,0,102,1,BR0266,,01 AGU 2022,,,27.8,6.7,3.4,,,
267,SK0267,WIFI RANGE EXTENDER AC1200,Elektronik,PCS,XIAOMI,0,15,1343,1,BR0267,,01 AGU 2022,,,9.9,7.5,8.9,,,
268,SK0268,WOBBLER TV A2 32 HD TV,Wobbler,PCS,XIAOMI,499,340,141,1,BR0268,,01 AGU 2022,,,55,40,1,,,
269,SK0269,WOBBLER TV A2 43 FHD,Wobbler,PCS,XIAOMI,128,155,427,1,BR0269,,01 AGU 2022,,,55,40,1,,,
270,SK0270,WOBBLER TV A2 43 4K UHD,Wobbler,PCS,XIAOMI,514,455,41,1,BR0270,,01 AGU 2022,,,55,40,1,,,
271,SK0271,impraboard easel logo xiaomi,Easel,PCS,XIAOMI,0,0,150,1,BR0271,,01 AGU 2022,,,85,61,2,,,
272,SK0272,kaki tripod,Easel,PCS,XIAOMI,0,0,150,1,BR0272,,01 AGU 2022,,,107,10,10,,,
273,SK0273,E-PRIN GLOSSY PHOTO PAPER FOR INKJET PRINTER,PAPER,PCS,XIAOMI,807,0,1193,1,BR0273,,01 AGU 2022,,,30,22,1,,,
274,SK0274,PLASTIK POLY MAILER HITAM,PLASTIK,PCS,XIAOMI,0,0,1000,1,BR0274,,01 AGU 2022,,,40,29,1,,,
275,SK0275,TRAY XIAOMI 11T,TRAY,PCS,XIAOMI,3,0,0,1,BR0275,,01 AGU 2022,,,27,28,10,,,
276,SK0276,DUMMY REDMI A1 GREY,DUMMY,PCS,XIAOMI,2981,0,19,1,BR0276,,01 AGU 2022,,,9,17,2,,,
277,SK0277,DUMMY REDMI A1 BLUE,DUMMY,PCS,XIAOMI,1981,0,19,1,BR0277,,01 AGU 2022,,,9,17,2,,,
278,SK0278,L83 BURGLAR ALARM,ALARM,PCS,XIAOMI,0,0,500,1,BR0278,,01 AGU 2022,,,45,22,9,,,
279,SK0279,KEY210W V1,ALARM HQ,PCS,XIAOMI,290,0,886,1,BR0279,,01 AGU 2022,,,4,8,1,,,
280,SK0280,TOL356Y,ALARM HQ,PCS,XIAOMI,290,0,1066,1,BR0280,,01 AGU 2022,,,10,1,1,,,
281,SK0281,REDMI BUDS 3 PRO Putih,Elektronik,PCS,XIAOMI,455,0,820,1,BR0281,,01 AGU 2022,,,17,7.5,2.3,,,
282,SK0282,REDMI BUDS 3 PRO Hitam,Elektronik,PCS,XIAOMI,0,0,20,1,BR0282,,01 AGU 2022,,,17,7.5,2.3,,,
283,SK0283,DUMMY POCO MS GRAY,DUMMY,PCS,XIAOMI,0,0,1500,1,BR0283,,01 AGU 2022,,,17,9,2,,,
284,SK0284,DUMMY POCO MS YELLOW,DUMMY,PCS,XIAOMI,0,0,500,1,BR0284,,01 AGU 2022,,,17,9,2,,,
285,SK0285,DUMMY POCO MS GREEN,DUMMY,PCS,XIAOMI,0,0,500,1,BR0285,,01 AGU 2022,,,17,9,2,,,
286,SK0286,EASEL REDMI 10 JAGOANYA 50 MP,Easel,PCS,XIAOMI,0,0,11,1,BR0286,,01 AGU 2022,,,8,8,28,,,
287,SK0287,EASEL XIAOMI TV SERIES PENDEK + KAKI,Easel,PCS,XIAOMI,0,0,9,1,BR0287,,01 AGU 2022,,,8,8,61,,,
288,SK0288,EASEL XIAOMI TV SERIES LONG + KAKI,Easel,PCS,XIAOMI,0,0,0,1,BR0288,,01 AGU 2022,,,9,8,90,,,
289,SK0289,EASEL TV P1E & A2,Easel,PCS,XIAOMI,3,0,24,1,BR0289,,01 AGU 2022,,,83,60,1,,,
290,SK0290,EASEL REDMI 10 5G,Easel,PCS,XIAOMI,3,0,26,1,BR0290,,01 AGU 2022,,,83,60,1,,,
291,SK0291,EASEL SMART BAND 7,Easel,PCS,XIAOMI,3,0,23,1,BR0291,,01 AGU 2022,,,83,60,1,,,
292,SK0292,EASEL A1 MERDEKA,Easel,PCS,XIAOMI,3,0,25,1,BR0292,,01 AGU 2022,,,83,60,1,,,
293,SK0293,MI SMART WATCH ALARM,ALARM,PCS,XIAOMI,12,0,88,1,BR0293,,01 AGU 2022,,,15,10,8,,,
294,SK0294,easel redmi note 11 series,Easel,PCS,XIAOMI,0,0,20,1,BR0294,,01 AGU 2022,,,50,23,1,,,
295,SK0295,easel redmi 10 5G,Easel,PCS,XIAOMI,0,0,20,1,BR0295,,01 AGU 2022,,,50,23,1,,,
296,SK0296,easel redmi12 lite 5G,Easel,PCS,XIAOMI,0,0,20,1,BR0296,,01 AGU 2022,,,50,23,1,,,
297,SK0297,easel poco F4,Easel,PCS,XIAOMI,0,0,20,1,BR0297,,01 AGU 2022,,,50,23,1,,,
298,SK0298,X BANNER TV SERIES LONG +KAKI,X BANNER,PCS,XIAOMI,0,0,42,1,BR0298,,01 AGU 2022,,,9,9,90,,,
299,SK0299,XBANNER MERDEKA,X BANNER,PCS,XIAOMI,0,0,33,1,BR0299,,01 AGU 2022,,,9,9,90,,,
300,SK0300,XBANNER LUCKY DRAW,X BANNER,PCS,XIAOMI,0,0,95,1,BR0300,,01 AGU 2022,,,9,9,90,,,
301,SK0301,XBANNER NOTE 11 SERIES,X BANNER,PCS,XIAOMI,2,0,4,1,BR0301,,01 AGU 2022,,,9,9,90,,,
302,SK0302,XBANNER POCO M4 PRO,X BANNER,PCS,XIAOMI,0,0,35,1,BR0302,,01 AGU 2022,,,9,9,90,,,
303,SK0303,XBANNER XIAOMI 12 SERIES BCL,X BANNER,PCS,XIAOMI,2,0,76,1,BR0303,,01 AGU 2022,,,9,9,90,,,
304,SK0304,EASEL LUCKY DRAW,Easel,PCS,XIAOMI,0,0,13,1,BR0304,,01 AGU 2022,,,9,9,63,,,
305,SK0305,EASEL NEW YEAR NEW ROAR,Easel,PCS,XIAOMI,0,0,41,1,BR0305,,01 AGU 2022,,,9,9,63,,,
306,SK0306,EASEL POCO M4,Easel,PCS,XIAOMI,0,0,10,1,BR0306,,01 AGU 2022,,,9,9,63,,,
307,SK0307,EASEL XIAOMI 11 T SERIES,STANDING EASEL,PCS,XIAOMI,0,0,25,1,BR0307,,01 AGU 2022,,,9,9,63,,,
308,SK0308,EASEL 12 SERIES BCL,Easel,PCS,XIAOMI,0,0,6,1,BR0308,,01 AGU 2022,,,9,9,63,,,
309,SK0309,EASEL BAND 7,Easel,PCS,XIAOMI,0,0,5,1,BR0309,,01 AGU 2022,,,9,9,63,,,
310,SK0310,EASEL MERDEKA,STANDING EASEL,PCS,XIAOMI,0,0,5,1,BR0310,,01 AGU 2022,,,9,9,63,,,
311,SK0311,EASEL ALBATROS,Easel,PCS,XIAOMI,0,0,10,1,BR0311,,01 AGU 2022,,,9,9,63,,,
312,SK0312,EASEL BACK TO SCHOOL,STANDING EASEL,PCS,XIAOMI,0,0,2,1,BR0312,,01 AGU 2022,,,9,9,63,,,
313,SK0313,EASEL 10 A,Easel,PCS,XIAOMI,0,0,1,1,BR0313,,01 AGU 2022,,,9,9,63,,,
314,SK0314,EASEL POCO F SERIES,Easel,PCS,XIAOMI,0,0,7,1,BR0314,,01 AGU 2022,,,9,9,63,,,
315,SK0315,EASEL REDMI 10 C / 10 A,STANDING EASEL,PCS,XIAOMI,0,0,7,1,BR0315,,01 AGU 2022,,,9,9,63,,,
316,SK0316,POSTER REDMI A1,POSTER,PCS,XIAOMI,2,0,73,1,BR0316,,01 AGU 2022,,,50,23,1,,,
317,SK0317,Tshirt Kuning Xiaomi POCO 4XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0317,,01 AGU 2022,,,40,30,2,,,
318,SK0318,Tshirt Hitam Xiaomi POCO 4XL,UNIFORM,PCS,XIAOMI,0,0,0,1,BR0318,,01 AGU 2022,,,40,30,2,,,
319,SK0319,T-Shirt POCO Kuning L,UNIFORM,PCS,XIAOMI,2,0,128,1,BR0319,,01 AGU 2022,,,40,30,2,,,
320,SK0320,T-Shirt POCO Kuning XL,UNIFORM,PCS,XIAOMI,2,0,218,1,BR0320,,01 AGU 2022,,,40,30,2,,,
321,SK0321,T-Shirt POCO Kuning 2XL,UNIFORM,PCS,XIAOMI,2,0,333,1,BR0321,,01 AGU 2022,,,40,30,2,,,
322,SK0322,T-Shirt POCO Kuning 3XL,UNIFORM,PCS,XIAOMI,2,0,108,1,BR0322,,01 AGU 2022,,,40,30,2,,,
323,SK0323,T-Shirt POCO Kuning 4XL,UNIFORM,PCS,XIAOMI,2,0,3,1,BR0323,,01 AGU 2022,,,40,30,2,,,
324,SK0324,T-Shirt POCO HITAM L,UNIFORM,PCS,XIAOMI,2,0,168,1,BR0324,,01 AGU 2022,,,40,30,2,,,
325,SK0325,T-Shirt POCO Hitam XL,UNIFORM,PCS,XIAOMI,2,20,278,1,BR0325,,01 AGU 2022,,,40,30,2,,,
326,SK0326,T-Shirt POCO Hitam 2XL,UNIFORM,PCS,XIAOMI,2,0,383,1,BR0326,,01 AGU 2022,,,40,30,2,,,
327,SK0327,T-Shirt POCO Hitam 3XL,UNIFORM,PCS,XIAOMI,2,0,148,1,BR0327,,01 AGU 2022,,,40,30,2,,,
328,SK0328,T-Shirt POCO Hitam 4XL,UNIFORM,PCS,XIAOMI,2,0,13,1,BR0328,,01 AGU 2022,,,40,30,2,,,
329,SK0329,ALARM OPP96SUB,ALARM,PCS,XIAOMI,174,0,0,1,BR0329,,01 AGU 2022,,,10,14,7,,,
330,SK0330,TYPE C VERTICAL CABLE SENSOR,ALARM,PCS,XIAOMI,870,0,0,1,BR0330,,01 AGU 2022,,,15,10,1,,,
331,SK0331,MICRO USB VERTICAL CABLE SENSOR,ALARM,PCS,XIAOMI,174,0,0,1,BR0331,,01 AGU 2022,,,15,10,1,,,
332,SK0332,CRADEL 2 IN 1,ACRYLIC,PCS,XIAOMI,1044,0,0,1,BR0332,,01 AGU 2022,,,4,4,5,,,
333,SK0333,ACRYLIC SPEC CARD WITH MAGNET,ACRYLIC,PCS,XIAOMI,1050,106,100,1,BR0333,,01 AGU 2022,,,11,16,1,,,
334,SK0334,REMOT KEY,ALARM,PCS,XIAOMI,174,0,0,1,BR0334,,01 AGU 2022,,,4,8,1,,,
335,SK0335,ALARM MI PAD OPP712W,ALARM,PCS,XIAOMI,6,0,100,1,BR0335,,01 AGU 2022,,,9,9,11,,,
336,SK0336,ADAPTOR OPP712W,ALARM,PCS,XIAOMI,6,0,100,1,BR0336,,01 AGU 2022,,,9,9,11,,,
337,SK0337,TYPE C CABLE CHARGING,ALARM,PCS,XIAOMI,6,0,100,1,BR0337,,01 AGU 2022,,,15,10,1,,,
338,SK0338,REMOTE ALARM OPP712,ALARM,PCS,XIAOMI,0,0,106,1,BR0338,,01 AGU 2022,,,15,10,1,,,
339,SK0339,FLYER POCO M5 XIAOMI STORE,flyer,PCS,XIAOMI,0,0,250,1,BR0339,,01 AGU 2022,,,14,20,1,,,
340,SK0340,PHONE POSTER POCO M5 XIAOMI STORE,POSTER,PCS,XIAOMI,0,0,1,1,BR0340,,01 AGU 2022,,,24,3,3,,,
341,SK0341,BACKSTIKER POCO M5,STIKER,PCS,XIAOMI,0,0,53,1,BR0341,,01 AGU 2022,,,4,7,1,,,
